from,to,relationship
sw,sm,1
sw,bc,1
sw,pm,1
sw,me,1
sw,fl,1
sw,nl,1
sw,rz,1
sw,tw,3
sw,us,3
sw,bm,3
sw,ta,3
sw,im,3
sw,cg,3
sw,js,3
sw,wtf,3
sw,mw,3
sw,pg,3
sw,ht,3
sw,mc,3
sw,bf,3
sw,dc,3
sw,yf,3
sw,bmd,3
sw,rr,3
sw,ts,3
sw,dp,3
sw,ve,3
sw,sps,3
jw,sd,1
jw,nl,1
jw,dk,1
jw,uw,1
jw,tf,3
jw,ds,3
jw,pbb,3
jw,ks,3
jw,bvl,3
jw,az,3
jw,sz,3
jw,fz,3
jw,ej,3
jw,sdt,3
jw,hs,3
jw,upg,3
jw,sps,3
sh,sm,1
sh,jb,1
sh,ls,1
sh,nl,1
sh,me,1
sh,jk,1
sh,ms,1
sh,oue,3
sh,tw,3
sh,pe,3
sh,upg,3
sh,vca,3
sh,sl,3
sh,ht,3
sh,uss,3
sh,sps,3
st,nl,1
st,ke,1
st,go,3
st,ddw,3
st,vk,3
st,wh,3
st,cs,3
st,de,3
st,fls,3
st,mp,3
st,fus,3
st,fs,3
st,esuf,3
st,ndr,3
st,sat,3
st,pro,3
st,tf,3
fl,sw,1
fl,pm,1
fl,jb,1
fl,bc,1
fl,ls,1
fl,er,1
fl,sm,1
fl,sd,1
fl,nl,1
fl,jc,1
fl,ms,1
fl,kk,1
fl,jpk,1
fl,zdf,3
fl,skm,3
fl,fu,3
fl,bfp,3
fl,wv,3
fl,rbr,3
fl,ml,3
fl,nr,3
fl,ta,3
fl,bp,3
fl,il,3
fl,ew,3
fl,ro,3
fl,tr,3
fl,lo,3
fl,fh,3
fl,rc,3
fl,ffe,3
fl,ge,3
fl,mer,3
fl,sg,3
fl,bli,3
fl,ea,3
fl,md,3
fl,sky,3
fl,jty,3
fl,os,3
ls,pm,1
ls,jb,1
ls,me,3
sm,sw,1
sm,me,3
so,me,3
sm,jb,1
ls,sm,1
sm,ls,1
sm,pm,1
sm,er,1
er,sm,1
er,syn,3
er,tw,3
er,me,3
er,pm,1
er,jb,1
bc,syn,3
jw,me,3
sm,tw,3
pr,ard,3
pr,np,3
pr,pfb,3
pr,skb,3
pr,prb,3
pr,ed,3
pr,prp,3
pr,prn,3
pr,prs,3
pr,pra,3
pr,prt,3
pr,vap,3
pr,cal,3
pr,ghd,3
pr,itm,3
pr,gla,3
pr,pam,3
bc,bl,3
bc,oa,3
bc,bpc,3
bc,wap,3
bc,woe,3
bc,tf,3
bc,db,3
bc,ogd,3
bc,pp,3
bc,she,3
bc,tz,3
bc,ss,3
bc,dw,3
jk,alg,3
jk,kno,3
jk,rtl,3
jk,gzs,3
jk,pok,3
jk,pro,3
jk,pok,3
ms,tms,3
ms,ama,3
ms,oue,3
ms,lev,3
ms,hyp,3
ms,prom,3
ms,con,3
ms,kin,3
ms,pre,3
so,glo,3
so,top,3
so,sab,3
so,ins,3
so,eis,3
so,goa,3
so,lid,3
so,sbl,3
so,sas,3
